Fund Name,URL Tag
Franklin India Dynamic Accrual - DP (G),MTE377
Franklin India Dynamic Accrual Fund (G),MTE002
Franklin India Equity Advantage (G),MTE078
Franklin India Equity Advantage - D (G),MTE327
Franklin India Equity Fund (G),MKP003
Franklin India Equity Fund - D (G),MTE315
Franklin India Equity Hybrid (G),MKP027
Franklin India Equity Hybrid - D (G),MTE307
Franklin India Floating Rate (G),MTE151
Franklin India Floating Rate - D (G),MTE370
Franklin India Focused Equity (G),MTE117
Franklin India Focused Equity - D (G),MTE325
Franklin India G-Sec Fund (G),MKP044
Franklin India G-Sec Fund - D (D),MTE335
Franklin India Income Oppor. (G),MTE272
Franklin India Liquid Fund (G),MKP012
Franklin India Liquid Fund - D (G),MTE349
Franklin India Liquid Fund - IP (G),MTE072
Franklin India Liquid Fund - SIP (G),MTE083
Franklin India Oppor. (G),MKP028
Franklin India Prima Fund (G),MKP002
Franklin India Savings Fund - D (G),MTE365
Franklin India Savings Fund - RP (G),MTE019
Franklin India Tax Shield (G),MKP007
Franklin India TF - (G),MKP004
Franklin India TF - Dir. (G),MTE309
Franklin Ultra SBF - SIP (G),MTE188
Franklin Ultra SBF - SIP - Direct (G),MTE379
Franklin USBF - IP (G),MTE186
Franklin USBF - RP (G),MTE184
Templeton (I) Equity Income (G),MTE092
Templeton (I) Equity Income - Dir (G),MTE297
Templeton India Value Fund (G),MTE024
Templeton India Value Fund - D (G),MTE295
